"RaumSort","RaumLang","Bildungsstand","AntBev","untAntBevKI","obAntBevKI"
111,"Affoltern","3",36.6,34.5,38.8
115,"Oerlikon","1",13.4,11.7,15.1
115,"Oerlikon","2",28.9,26.8,31.1
115,"Oerlikon","3",57.7,55.3,60
119,"Seebach","1",24,21.9,26
119,"Seebach","2",37.2,35,39.5
119,"Seebach","3",38.8,36.5,41.1
120,"Kreis 12","1",29.1,27.2,31
120,"Kreis 12","2",39.8,37.8,41.9
120,"Kreis 12","3",31,29.1,33
121,"Saatlen","1",30.2,26.5,33.9
121,"Saatlen","2",38.4,34.5,42.3
121,"Saatlen","3",31.4,27.7,35.1
122,"Schwamendingen-Mitte","1",29.2,25.9,32.5
122,"Schwamendingen-Mitte","2",36.3,32.9,39.7
122,"Schwamendingen-Mitte","3",34.5,31.1,37.9
123,"Hirzenbach","1",28.3,25.2,31.4
123,"Hirzenbach","2",44,40.6,47.4
123,"Hirzenbach","3",27.7,24.6,30.7
