"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2009,4,"Kreis 4",2,"Einelternfamilientarif",32.1,13,50.9
2009,5,"Kreis 5",0,"Grundtarif",44.9,21.9,69.6
2009,5,"Kreis 5",1,"Verheiratetentarif",64.4,43.1,97.5
2009,5,"Kreis 5",2,"Einelternfamilientarif",43.8,21.4,67.6
2009,6,"Kreis 6",0,"Grundtarif",47.8,23.2,74.8
2009,6,"Kreis 6",1,"Verheiratetentarif",91,58.8,148.65
2009,6,"Kreis 6",2,"Einelternfamilientarif",48.45,29.8,77.95
2009,7,"Kreis 7",0,"Grundtarif",49.8,21,83.5
2009,7,"Kreis 7",1,"Verheiratetentarif",120,74.95,203.45
2009,7,"Kreis 7",2,"Einelternfamilientarif",65,37.4,105.3
2009,8,"Kreis 8",0,"Grundtarif",53.3,24.1,85.3
2009,8,"Kreis 8",1,"Verheiratetentarif",107.8,67,171.8
2009,8,"Kreis 8",2,"Einelternfamilientarif",55.3,31.8,94
2009,9,"Kreis 9",0,"Grundtarif",40.5,21.1,60
2009,9,"Kreis 9",1,"Verheiratetentarif",67.7,46.6,94.2
2009,9,"Kreis 9",2,"Einelternfamilientarif",38.8,21,58
2009,10,"Kreis 10",0,"Grundtarif",46.3,23.7,69.7
2009,10,"Kreis 10",1,"Verheiratetentarif",84.2,57.6,126.2
2009,10,"Kreis 10",2,"Einelternfamilientarif",48.55,28.4,71
2009,11,"Kreis 11",0,"Grundtarif",40,19.9,61.6
2009,11,"Kreis 11",1,"Verheiratetentarif",69.4,46.6,98.5
2009,11,"Kreis 11",2,"Einelternfamilientarif",38.4,20,59.4
2009,12,"Kreis 12",0,"Grundtarif",32.1,16,48.7
2009,12,"Kreis 12",1,"Verheiratetentarif",59,39.65,79.8
2009,12,"Kreis 12",2,"Einelternfamilientarif",30,12.5,46
2010,1,"Kreis 1",0,"Grundtarif",47.6,18.7,86.8
2010,1,"Kreis 1",1,"Verheiratetentarif",122.3,73.9,191.5
2010,1,"Kreis 1",2,"Einelternfamilientarif",55.35,29.8,96.6
2010,2,"Kreis 2",0,"Grundtarif",44.8,21.5,72.2
2010,2,"Kreis 2",1,"Verheiratetentarif",89.2,58.4,138.9
2010,2,"Kreis 2",2,"Einelternfamilientarif",44.4,25.6,70
2010,3,"Kreis 3",0,"Grundtarif",41.3,20.4,64.6
2010,3,"Kreis 3",1,"Verheiratetentarif",67.3,43.5,100
2010,3,"Kreis 3",2,"Einelternfamilientarif",40,21.65,60.1
2010,4,"Kreis 4",0,"Grundtarif",37,17.9,59.6
2010,4,"Kreis 4",1,"Verheiratetentarif",55.9,35.5,80.5
2010,4,"Kreis 4",2,"Einelternfamilientarif",33.25,13.95,53.4
2010,5,"Kreis 5",0,"Grundtarif",45.5,21.4,70.2
2010,5,"Kreis 5",1,"Verheiratetentarif",65.4,43.65,98.95
2010,5,"Kreis 5",2,"Einelternfamilientarif",44.95,22.2,68.9
2010,6,"Kreis 6",0,"Grundtarif",47.5,23.5,76.2
2010,6,"Kreis 6",1,"Verheiratetentarif",93.3,59.9,149.6
2010,6,"Kreis 6",2,"Einelternfamilientarif",50.2,29.6,78.4
2010,7,"Kreis 7",0,"Grundtarif",49.5,21,83.6
2010,7,"Kreis 7",1,"Verheiratetentarif",122.8,75.7,208.5
2010,7,"Kreis 7",2,"Einelternfamilientarif",65.45,39,108.1
2010,8,"Kreis 8",0,"Grundtarif",53.7,24.8,87.6
2010,8,"Kreis 8",1,"Verheiratetentarif",107.75,68.25,179.75
2010,8,"Kreis 8",2,"Einelternfamilientarif",57.8,35.2,88.5
2010,9,"Kreis 9",0,"Grundtarif",40.7,20.8,60.3
2010,9,"Kreis 9",1,"Verheiratetentarif",67.9,46.8,95.1
2010,9,"Kreis 9",2,"Einelternfamilientarif",39.3,20.3,60.2
2010,10,"Kreis 10",0,"Grundtarif",46.5,23.7,70.2
2010,10,"Kreis 10",1,"Verheiratetentarif",85.1,58.3,128.6
2010,10,"Kreis 10",2,"Einelternfamilientarif",48.3,28.8,73.9
2010,11,"Kreis 11",0,"Grundtarif",40.4,19.8,62.2
2010,11,"Kreis 11",1,"Verheiratetentarif",70.7,47.2,100.4
2010,11,"Kreis 11",2,"Einelternfamilientarif",38.1,20.4,59.2
2010,12,"Kreis 12",0,"Grundtarif",31.7,15.5,49
2010,12,"Kreis 12",1,"Verheiratetentarif",59.5,39.7,80.9
2010,12,"Kreis 12",2,"Einelternfamilientarif",30,11.45,45.3
2011,1,"Kreis 1",0,"Grundtarif",47.5,19,87.1
2011,1,"Kreis 1",1,"Verheiratetentarif",118.8,65.95,201.95
2011,1,"Kreis 1",2,"Einelternfamilientarif",58.15,29.35,102.75
2011,2,"Kreis 2",0,"Grundtarif",44.6,21.4,71.8
2011,2,"Kreis 2",1,"Verheiratetentarif",88.9,57.9,140.6
2011,2,"Kreis 2",2,"Einelternfamilientarif",46,26.7,71.9
2011,3,"Kreis 3",0,"Grundtarif",42.7,20.9,65.7
2011,3,"Kreis 3",1,"Verheiratetentarif",68.6,43.6,103.9
2011,3,"Kreis 3",2,"Einelternfamilientarif",39.7,20.4,59.4
2011,4,"Kreis 4",0,"Grundtarif",37.5,18,60
2011,4,"Kreis 4",1,"Verheiratetentarif",56.85,36.8,82.6
2011,4,"Kreis 4",2,"Einelternfamilientarif",32.9,11.1,52.8
2011,5,"Kreis 5",0,"Grundtarif",44.3,20.4,70.8
2011,5,"Kreis 5",1,"Verheiratetentarif",67.9,45.1,101.1
2011,5,"Kreis 5",2,"Einelternfamilientarif",45.6,23.2,70.6
2011,6,"Kreis 6",0,"Grundtarif",47.9,23.8,76.6
2011,6,"Kreis 6",1,"Verheiratetentarif",94.9,61.2,154.3
2011,6,"Kreis 6",2,"Einelternfamilientarif",53.35,31,84.2
2011,7,"Kreis 7",0,"Grundtarif",50.1,21.1,85.3
2011,7,"Kreis 7",1,"Verheiratetentarif",126.7,77.6,210.8
2011,7,"Kreis 7",2,"Einelternfamilientarif",68.45,39.6,105.6
2011,8,"Kreis 8",0,"Grundtarif",54.7,25.4,88.8
2011,8,"Kreis 8",1,"Verheiratetentarif",110.75,68.6,183.6
2011,8,"Kreis 8",2,"Einelternfamilientarif",57.7,35.9,90.65
2011,9,"Kreis 9",0,"Grundtarif",41.1,21.1,61
2011,9,"Kreis 9",1,"Verheiratetentarif",68.8,47.1,96.3
2011,9,"Kreis 9",2,"Einelternfamilientarif",40,20.1,61.9
2011,10,"Kreis 10",0,"Grundtarif",47.1,23.8,70.3
2011,10,"Kreis 10",1,"Verheiratetentarif",86.9,58.9,132
2011,10,"Kreis 10",2,"Einelternfamilientarif",49.8,30,73.6
2011,11,"Kreis 11",0,"Grundtarif",40.6,19.9,62.7
2011,11,"Kreis 11",1,"Verheiratetentarif",71.2,47.6,103
2011,11,"Kreis 11",2,"Einelternfamilientarif",38.2,20.2,59.6
2011,12,"Kreis 12",0,"Grundtarif",31.5,15.3,48.7
2011,12,"Kreis 12",1,"Verheiratetentarif",59.75,39.95,81.5
2011,12,"Kreis 12",2,"Einelternfamilientarif",30.1,12.2,46
2012,1,"Kreis 1",0,"Grundtarif",47.4,18.5,86.2
2012,1,"Kreis 1",1,"Verheiratetentarif",120.2,66.6,194.8
2012,1,"Kreis 1",2,"Einelternfamilientarif",66.7,36,107.3
2012,2,"Kreis 2",0,"Grundtarif",44.5,20.4,72.6
2012,2,"Kreis 2",1,"Verheiratetentarif",87.2,57.3,141.6
2012,2,"Kreis 2",2,"Einelternfamilientarif",43.85,24.8,70.75
2012,3,"Kreis 3",0,"Grundtarif",42.6,20.6,66.5
2012,3,"Kreis 3",1,"Verheiratetentarif",68.4,43.3,103.8
2012,3,"Kreis 3",2,"Einelternfamilientarif",39.3,22,60.6
2012,4,"Kreis 4",0,"Grundtarif",38.7,18,61.7
2012,4,"Kreis 4",1,"Verheiratetentarif",56,35,82.6
2012,4,"Kreis 4",2,"Einelternfamilientarif",31.1,11.9,53.6
2012,5,"Kreis 5",0,"Grundtarif",45.2,21.1,71.2
2012,5,"Kreis 5",1,"Verheiratetentarif",69.45,46.55,106.75
2012,5,"Kreis 5",2,"Einelternfamilientarif",46.2,23.5,73.2
2012,6,"Kreis 6",0,"Grundtarif",47.8,23,76.7
2012,6,"Kreis 6",1,"Verheiratetentarif",95.4,60.25,154.15
2012,6,"Kreis 6",2,"Einelternfamilientarif",52,30.8,84.3
2012,7,"Kreis 7",0,"Grundtarif",50.4,21,84.25
2012,7,"Kreis 7",1,"Verheiratetentarif",126,78.2,212.9
2012,7,"Kreis 7",2,"Einelternfamilientarif",67.2,39.1,108.1
2012,8,"Kreis 8",0,"Grundtarif",55,25.1,91
2012,8,"Kreis 8",1,"Verheiratetentarif",113.9,70.7,188.9
2012,8,"Kreis 8",2,"Einelternfamilientarif",60.25,37.2,95.9
2012,9,"Kreis 9",0,"Grundtarif",41.2,20.9,61.2
2012,9,"Kreis 9",1,"Verheiratetentarif",68.8,46.4,97.2
2012,9,"Kreis 9",2,"Einelternfamilientarif",39.7,20.4,61.2
2012,10,"Kreis 10",0,"Grundtarif",47.3,23.6,71.4
2012,10,"Kreis 10",1,"Verheiratetentarif",87.05,57.95,133
2012,10,"Kreis 10",2,"Einelternfamilientarif",49.3,29.6,76
2012,11,"Kreis 11",0,"Grundtarif",40.8,19.9,63.1
2012,11,"Kreis 11",1,"Verheiratetentarif",71.3,47.1,103.4
2012,11,"Kreis 11",2,"Einelternfamilientarif",38,19.8,58.6
2012,12,"Kreis 12",0,"Grundtarif",31.1,14.5,48.9
2012,12,"Kreis 12",1,"Verheiratetentarif",58.7,38.5,80.2
2012,12,"Kreis 12",2,"Einelternfamilientarif",29,9.2,45
2013,1,"Kreis 1",0,"Grundtarif",47.9,18,83.2
2013,1,"Kreis 1",1,"Verheiratetentarif",120,67.8,207
2013,1,"Kreis 1",2,"Einelternfamilientarif",62.4,30,99.7
2013,2,"Kreis 2",0,"Grundtarif",45.3,21,72.9
2013,2,"Kreis 2",1,"Verheiratetentarif",87.5,55.9,143.2
2013,2,"Kreis 2",2,"Einelternfamilientarif",44.4,22.55,72.8
2013,3,"Kreis 3",0,"Grundtarif",43.7,21.1,67.5
2013,3,"Kreis 3",1,"Verheiratetentarif",69.1,42.7,106.5
2013,3,"Kreis 3",2,"Einelternfamilientarif",39.8,20.6,61.3
2013,4,"Kreis 4",0,"Grundtarif",38.9,18,62.5
2013,4,"Kreis 4",1,"Verheiratetentarif",54.3,33.9,82.85
2013,4,"Kreis 4",2,"Einelternfamilientarif",33.05,14.6,55.4
2013,5,"Kreis 5",0,"Grundtarif",47.1,22.1,74.3
2013,5,"Kreis 5",1,"Verheiratetentarif",72.4,45.8,112.35
2013,5,"Kreis 5",2,"Einelternfamilientarif",46.3,25.7,76.1
2013,6,"Kreis 6",0,"Grundtarif",47.6,22.3,76
2013,6,"Kreis 6",1,"Verheiratetentarif",95.1,60.3,157.7
2013,6,"Kreis 6",2,"Einelternfamilientarif",51.3,30.1,79.6
2013,7,"Kreis 7",0,"Grundtarif",50,21,84.2
2013,7,"Kreis 7",1,"Verheiratetentarif",125.1,76.6,212.5
2013,7,"Kreis 7",2,"Einelternfamilientarif",66,38.35,111.1
2013,8,"Kreis 8",0,"Grundtarif",54.6,23.8,90.3
2013,8,"Kreis 8",1,"Verheiratetentarif",113.95,69.8,196.3
2013,8,"Kreis 8",2,"Einelternfamilientarif",58.9,37,96.1
2013,9,"Kreis 9",0,"Grundtarif",41.2,21.1,61.2
2013,9,"Kreis 9",1,"Verheiratetentarif",68.3,45.5,97.2
2013,9,"Kreis 9",2,"Einelternfamilientarif",36.9,20,58.9
2013,10,"Kreis 10",0,"Grundtarif",47.1,23.6,70.5
2013,10,"Kreis 10",1,"Verheiratetentarif",85.75,57.2,131.7
2013,10,"Kreis 10",2,"Einelternfamilientarif",49,27.2,74.6
2013,11,"Kreis 11",0,"Grundtarif",40.9,19.8,62.8
2013,11,"Kreis 11",1,"Verheiratetentarif",70.7,46.2,102.9
2013,11,"Kreis 11",2,"Einelternfamilientarif",36.6,17.7,60
2013,12,"Kreis 12",0,"Grundtarif",31.4,14.5,49.9
2013,12,"Kreis 12",1,"Verheiratetentarif",57.3,37.1,79.8
2013,12,"Kreis 12",2,"Einelternfamilientarif",28.2,9.2,44
2014,1,"Kreis 1",0,"Grundtarif",46.95,17.75,85
2014,1,"Kreis 1",1,"Verheiratetentarif",118.1,68.3,207.9
2014,1,"Kreis 1",2,"Einelternfamilientarif",58.15,31.6,93.2
2014,2,"Kreis 2",0,"Grundtarif",44.9,20.3,72.8
2014,2,"Kreis 2",1,"Verheiratetentarif",92.7,58.1,148.5
2014,2,"Kreis 2",2,"Einelternfamilientarif",46.5,26.8,72.4
2014,3,"Kreis 3",0,"Grundtarif",43.6,21.2,67.7
2014,3,"Kreis 3",1,"Verheiratetentarif",71.2,44.8,110.3
2014,3,"Kreis 3",2,"Einelternfamilientarif",39.8,21.5,64
2014,4,"Kreis 4",0,"Grundtarif",39.1,18,63.2
2014,4,"Kreis 4",1,"Verheiratetentarif",56,34.8,85.8
2014,4,"Kreis 4",2,"Einelternfamilientarif",33.2,14.5,55.4
2014,5,"Kreis 5",0,"Grundtarif",48.9,23.7,76.6
2014,5,"Kreis 5",1,"Verheiratetentarif",79,47.7,126.2
2014,5,"Kreis 5",2,"Einelternfamilientarif",45.8,27.6,75.2
2014,6,"Kreis 6",0,"Grundtarif",47.2,22,75
2014,6,"Kreis 6",1,"Verheiratetentarif",99.2,61.3,163.05
2014,6,"Kreis 6",2,"Einelternfamilientarif",54.1,32.9,83.4
2014,7,"Kreis 7",0,"Grundtarif",50.5,21,84
2014,7,"Kreis 7",1,"Verheiratetentarif",127.1,78.3,212.7
2014,7,"Kreis 7",2,"Einelternfamilientarif",67.05,39.85,114.65
2014,8,"Kreis 8",0,"Grundtarif",54.4,23.9,90.4
2014,8,"Kreis 8",1,"Verheiratetentarif",119.7,72,204.3
2014,8,"Kreis 8",2,"Einelternfamilientarif",58.6,35.05,99.2
2014,9,"Kreis 9",0,"Grundtarif",41.7,21,61.8
2014,9,"Kreis 9",1,"Verheiratetentarif",69.3,46,99.1
2014,9,"Kreis 9",2,"Einelternfamilientarif",37.9,19.9,57.4
2014,10,"Kreis 10",0,"Grundtarif",47.1,23.1,70.5
2014,10,"Kreis 10",1,"Verheiratetentarif",89,58.15,135.55
2014,10,"Kreis 10",2,"Einelternfamilientarif",48.1,27.4,72.5
2014,11,"Kreis 11",0,"Grundtarif",40.9,19.1,62.5
2014,11,"Kreis 11",1,"Verheiratetentarif",72.2,46.5,105.85
2014,11,"Kreis 11",2,"Einelternfamilientarif",37.9,17.9,60
2014,12,"Kreis 12",0,"Grundtarif",32.1,14.8,50.2
2014,12,"Kreis 12",1,"Verheiratetentarif",57.85,36.8,81.4
2014,12,"Kreis 12",2,"Einelternfamilientarif",29,7,45
2015,1,"Kreis 1",0,"Grundtarif",47,17.55,85.35
2015,1,"Kreis 1",1,"Verheiratetentarif",119.55,69.9,204
2015,1,"Kreis 1",2,"Einelternfamilientarif",62.9,35.9,95.5
2015,2,"Kreis 2",0,"Grundtarif",46.05,21.2,74.6
2015,2,"Kreis 2",1,"Verheiratetentarif",93.9,58.7,152.4
2015,2,"Kreis 2",2,"Einelternfamilientarif",49.45,28.6,79.6
2015,3,"Kreis 3",0,"Grundtarif",44,21.1,68
2015,3,"Kreis 3",1,"Verheiratetentarif",72.2,45.3,113
2015,3,"Kreis 3",2,"Einelternfamilientarif",42.1,22.5,66.5
2015,4,"Kreis 4",0,"Grundtarif",39.4,17.8,64.1
2015,4,"Kreis 4",1,"Verheiratetentarif",56.1,33.75,87.85
2015,4,"Kreis 4",2,"Einelternfamilientarif",34.4,15.7,58
2015,5,"Kreis 5",0,"Grundtarif",50.2,23.85,78.8
2015,5,"Kreis 5",1,"Verheiratetentarif",81.6,49.5,135.3
2015,5,"Kreis 5",2,"Einelternfamilientarif",53.15,31.7,82.9
2015,6,"Kreis 6",0,"Grundtarif",47.4,21.9,75.5
2015,6,"Kreis 6",1,"Verheiratetentarif",101.1,63.4,163.5
2015,6,"Kreis 6",2,"Einelternfamilientarif",55.6,34.9,87.2
2015,7,"Kreis 7",0,"Grundtarif",50.1,20.2,83.8
2015,7,"Kreis 7",1,"Verheiratetentarif",129.6,79.6,217
2015,7,"Kreis 7",2,"Einelternfamilientarif",69.4,40.75,115.35
2015,8,"Kreis 8",0,"Grundtarif",54.7,24,90.9
2015,8,"Kreis 8",1,"Verheiratetentarif",125.55,76.6,210.25
2015,8,"Kreis 8",2,"Einelternfamilientarif",59.75,38.45,102.55
2015,9,"Kreis 9",0,"Grundtarif",41.4,20.6,61.9
2015,9,"Kreis 9",1,"Verheiratetentarif",70.8,46.3,101.3
2015,9,"Kreis 9",2,"Einelternfamilientarif",40.4,20.3,62.9
2015,10,"Kreis 10",0,"Grundtarif",46.8,23,70.8
2015,10,"Kreis 10",1,"Verheiratetentarif",89.6,59.3,137.3
2015,10,"Kreis 10",2,"Einelternfamilientarif",51.9,30.1,78.3
2015,11,"Kreis 11",0,"Grundtarif",40.2,18.7,62.4
2015,11,"Kreis 11",1,"Verheiratetentarif",73.1,47.1,107.8
2015,11,"Kreis 11",2,"Einelternfamilientarif",38.7,18.1,61.85
2015,12,"Kreis 12",0,"Grundtarif",32.6,14.7,50.7
2015,12,"Kreis 12",1,"Verheiratetentarif",58.5,36.6,82.8
2015,12,"Kreis 12",2,"Einelternfamilientarif",29.25,9.4,46.9
2016,1,"Kreis 1",0,"Grundtarif",46.7,16.1,84.4
2016,1,"Kreis 1",1,"Verheiratetentarif",121,70,200
2016,1,"Kreis 1",2,"Einelternfamilientarif",64.2,30.4,100.6
2016,2,"Kreis 2",0,"Grundtarif",45.7,20.2,75.3
2016,2,"Kreis 2",1,"Verheiratetentarif",95.6,60.8,155.4
2016,2,"Kreis 2",2,"Einelternfamilientarif",49.6,28.2,78.7
2016,3,"Kreis 3",0,"Grundtarif",44.1,20.7,68.9
2016,3,"Kreis 3",1,"Verheiratetentarif",73.7,45.5,115.6
2016,3,"Kreis 3",2,"Einelternfamilientarif",43.5,25.3,68.2
2016,4,"Kreis 4",0,"Grundtarif",40,18.1,65.1
2016,4,"Kreis 4",1,"Verheiratetentarif",58.9,34.9,93.2
2016,4,"Kreis 4",2,"Einelternfamilientarif",38,17.2,63.4
2016,5,"Kreis 5",0,"Grundtarif",51.5,24.1,80.4
2016,5,"Kreis 5",1,"Verheiratetentarif",87.35,51,147.3
2016,5,"Kreis 5",2,"Einelternfamilientarif",54.9,31.9,85.9
2016,6,"Kreis 6",0,"Grundtarif",47.5,21.3,76.8
2016,6,"Kreis 6",1,"Verheiratetentarif",102.8,63.9,166.1
2016,6,"Kreis 6",2,"Einelternfamilientarif",56.4,35,90
2016,7,"Kreis 7",0,"Grundtarif",50.5,20.4,84.3
2016,7,"Kreis 7",1,"Verheiratetentarif",131.9,81.4,219.5
2016,7,"Kreis 7",2,"Einelternfamilientarif",69.9,43.8,119.6
2016,8,"Kreis 8",0,"Grundtarif",54.8,23.9,92.7
2016,8,"Kreis 8",1,"Verheiratetentarif",126.8,76.5,213.4
2016,8,"Kreis 8",2,"Einelternfamilientarif",64.1,38,109.3
2016,9,"Kreis 9",0,"Grundtarif",41.9,20.7,62.8
2016,9,"Kreis 9",1,"Verheiratetentarif",71.7,47.3,103.5
2016,9,"Kreis 9",2,"Einelternfamilientarif",42.6,23.1,66.4
2016,10,"Kreis 10",0,"Grundtarif",47,22.6,71.1
2016,10,"Kreis 10",1,"Verheiratetentarif",91,60.1,137.2
2016,10,"Kreis 10",2,"Einelternfamilientarif",54.1,31.2,81.5
2016,11,"Kreis 11",0,"Grundtarif",40.4,18.5,62.9
2016,11,"Kreis 11",1,"Verheiratetentarif",73.8,46.5,108.6
2016,11,"Kreis 11",2,"Einelternfamilientarif",40.3,20,63.3
2016,12,"Kreis 12",0,"Grundtarif",32.3,14.5,51
2016,12,"Kreis 12",1,"Verheiratetentarif",59.5,37.4,85
2016,12,"Kreis 12",2,"Einelternfamilientarif",31,10.8,49.7
2017,1,"Kreis 1",0,"Grundtarif",46,15.8,83.9
2017,1,"Kreis 1",1,"Verheiratetentarif",121.7,71.4,208.1
2017,1,"Kreis 1",2,"Einelternfamilientarif",65.25,37.8,110.8
2017,2,"Kreis 2",0,"Grundtarif",45.6,20,74.7
2017,2,"Kreis 2",1,"Verheiratetentarif",97.9,60.5,160.1
2017,2,"Kreis 2",2,"Einelternfamilientarif",50,28.2,81.3
2017,3,"Kreis 3",0,"Grundtarif",44.8,20.5,69.2
2017,3,"Kreis 3",1,"Verheiratetentarif",75.4,47,119
2017,3,"Kreis 3",2,"Einelternfamilientarif",43.8,25.3,68.3
2017,4,"Kreis 4",0,"Grundtarif",40.4,18,65.5
2017,4,"Kreis 4",1,"Verheiratetentarif",60.9,36.35,97.45
2017,4,"Kreis 4",2,"Einelternfamilientarif",38.3,18.5,61.2
2017,5,"Kreis 5",0,"Grundtarif",51,23.8,79.8
2017,5,"Kreis 5",1,"Verheiratetentarif",93,54.9,157.4
2017,5,"Kreis 5",2,"Einelternfamilientarif",53.5,29.4,86.2
2017,6,"Kreis 6",0,"Grundtarif",47.1,20.15,76.15
2017,6,"Kreis 6",1,"Verheiratetentarif",103.95,64.8,170
2017,6,"Kreis 6",2,"Einelternfamilientarif",56.3,36,88.35
2017,7,"Kreis 7",0,"Grundtarif",50.2,20,84.9
2017,7,"Kreis 7",1,"Verheiratetentarif",134.4,82.55,224.3
2017,7,"Kreis 7",2,"Einelternfamilientarif",72,43.4,121.7
2017,8,"Kreis 8",0,"Grundtarif",55.8,23.5,93.7
2017,8,"Kreis 8",1,"Verheiratetentarif",128.6,79.3,220.1
2017,8,"Kreis 8",2,"Einelternfamilientarif",65.8,38,111.3
2017,9,"Kreis 9",0,"Grundtarif",42.5,20.35,63.8
2017,9,"Kreis 9",1,"Verheiratetentarif",72.7,47.4,106.4
2017,9,"Kreis 9",2,"Einelternfamilientarif",44.7,24.2,67.4
2017,10,"Kreis 10",0,"Grundtarif",46.75,22.3,70.9
2017,10,"Kreis 10",1,"Verheiratetentarif",93.05,61.6,140
2017,10,"Kreis 10",2,"Einelternfamilientarif",54.3,33.8,81.5
2017,11,"Kreis 11",0,"Grundtarif",41,18.6,63
2017,11,"Kreis 11",1,"Verheiratetentarif",74.4,47.3,110
2017,11,"Kreis 11",2,"Einelternfamilientarif",40.7,20,65.2
2017,12,"Kreis 12",0,"Grundtarif",32.9,14.3,51.9
2017,12,"Kreis 12",1,"Verheiratetentarif",60.6,38,86
2017,12,"Kreis 12",2,"Einelternfamilientarif",30.3,12.7,50.4
2018,1,"Kreis 1",0,"Grundtarif",45.75,16,83.8
2018,1,"Kreis 1",1,"Verheiratetentarif",117.5,67.5,213.8
2018,1,"Kreis 1",2,"Einelternfamilientarif",59.8,30.3,102.1
2018,2,"Kreis 2",0,"Grundtarif",46,20.5,76.3
2018,2,"Kreis 2",1,"Verheiratetentarif",97.9,61.9,161.7
2018,2,"Kreis 2",2,"Einelternfamilientarif",52.5,28.9,83.6
2018,3,"Kreis 3",0,"Grundtarif",45.1,21,70.2
2018,3,"Kreis 3",1,"Verheiratetentarif",77.3,47.5,122.4
2018,3,"Kreis 3",2,"Einelternfamilientarif",46.2,27.1,72.8
2018,4,"Kreis 4",0,"Grundtarif",41.3,18.1,67.2
2018,4,"Kreis 4",1,"Verheiratetentarif",62.4,37.4,103
2018,4,"Kreis 4",2,"Einelternfamilientarif",40.2,21.2,61.6
2018,5,"Kreis 5",0,"Grundtarif",51.95,25.2,81.5
2018,5,"Kreis 5",1,"Verheiratetentarif",97.2,56.4,162.2
2018,5,"Kreis 5",2,"Einelternfamilientarif",56.3,33,86
2018,6,"Kreis 6",0,"Grundtarif",47.2,20.8,76.5
2018,6,"Kreis 6",1,"Verheiratetentarif",107.6,65.8,172.8
2018,6,"Kreis 6",2,"Einelternfamilientarif",58.9,36.6,90.6
2018,7,"Kreis 7",0,"Grundtarif",50.1,20.2,85
2018,7,"Kreis 7",1,"Verheiratetentarif",135.2,84.6,223
2018,7,"Kreis 7",2,"Einelternfamilientarif",73.65,45.7,122.05
2018,8,"Kreis 8",0,"Grundtarif",56.5,24,96.5
2018,8,"Kreis 8",1,"Verheiratetentarif",131.3,80.4,223.7
2018,8,"Kreis 8",2,"Einelternfamilientarif",70,42.4,116.2
2018,9,"Kreis 9",0,"Grundtarif",43.4,20.8,65.4
2018,9,"Kreis 9",1,"Verheiratetentarif",74.5,49.5,108.8
2018,9,"Kreis 9",2,"Einelternfamilientarif",45.8,25.35,69
2018,10,"Kreis 10",0,"Grundtarif",47.4,22.7,71.6
2018,10,"Kreis 10",1,"Verheiratetentarif",94.4,62.9,141.4
2018,10,"Kreis 10",2,"Einelternfamilientarif",56.85,33.55,83.4
2018,11,"Kreis 11",0,"Grundtarif",41.1,18.6,64
2018,11,"Kreis 11",1,"Verheiratetentarif",75.9,48.8,112.8
2018,11,"Kreis 11",2,"Einelternfamilientarif",42.25,20.25,66.8
2018,12,"Kreis 12",0,"Grundtarif",33.5,14,52.5
2018,12,"Kreis 12",1,"Verheiratetentarif",62,39.3,88.3
2018,12,"Kreis 12",2,"Einelternfamilientarif",33.3,14.4,50
