"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2001,1,"Kreis 1",2,"Einelternfamilientarif",54,32,106.7
2001,2,"Kreis 2",0,"Grundtarif",40.8,20.9,63.6
2001,2,"Kreis 2",1,"Verheiratetentarif",75.9,53.1,111.8
2001,2,"Kreis 2",2,"Einelternfamilientarif",42.2,24.95,63.8
2001,3,"Kreis 3",0,"Grundtarif",36,19.7,54.5
2001,3,"Kreis 3",1,"Verheiratetentarif",62.4,43.5,85.1
2001,3,"Kreis 3",2,"Einelternfamilientarif",35.65,19.3,50.9
2001,4,"Kreis 4",0,"Grundtarif",32.2,17,50.3
2001,4,"Kreis 4",1,"Verheiratetentarif",55.4,37.2,73.8
2001,4,"Kreis 4",2,"Einelternfamilientarif",33.7,16.5,47.3
2001,5,"Kreis 5",0,"Grundtarif",36.9,18.7,56.5
2001,5,"Kreis 5",1,"Verheiratetentarif",58.8,41.5,79.2
2001,5,"Kreis 5",2,"Einelternfamilientarif",35.5,20,49.3
2001,6,"Kreis 6",0,"Grundtarif",41.2,20.8,64.7
2001,6,"Kreis 6",1,"Verheiratetentarif",77.6,52.8,120
2001,6,"Kreis 6",2,"Einelternfamilientarif",41.8,24.9,61.6
2001,7,"Kreis 7",0,"Grundtarif",44.7,20.1,71.7
2001,7,"Kreis 7",1,"Verheiratetentarif",101.2,63.6,167.9
2001,7,"Kreis 7",2,"Einelternfamilientarif",52.1,30.55,83.3
2001,8,"Kreis 8",0,"Grundtarif",45.3,22.5,69.5
2001,8,"Kreis 8",1,"Verheiratetentarif",86.3,58.2,139
2001,8,"Kreis 8",2,"Einelternfamilientarif",51.25,28.8,76.6
2001,9,"Kreis 9",0,"Grundtarif",36.7,20.3,53.6
2001,9,"Kreis 9",1,"Verheiratetentarif",63.4,46.6,86
2001,9,"Kreis 9",2,"Einelternfamilientarif",36.5,20,50.3
2001,10,"Kreis 10",0,"Grundtarif",42.1,21.7,62.6
2001,10,"Kreis 10",1,"Verheiratetentarif",74.9,53.8,107.8
2001,10,"Kreis 10",2,"Einelternfamilientarif",40.8,25.3,59.1
2001,11,"Kreis 11",0,"Grundtarif",36.1,19.6,54.1
2001,11,"Kreis 11",1,"Verheiratetentarif",64.3,45.4,88.3
2001,11,"Kreis 11",2,"Einelternfamilientarif",36.9,21.3,53.8
2001,12,"Kreis 12",0,"Grundtarif",30.8,17,45.9
2001,12,"Kreis 12",1,"Verheiratetentarif",58.9,42.5,76.9
2001,12,"Kreis 12",2,"Einelternfamilientarif",32.35,17.05,46.15
2002,1,"Kreis 1",0,"Grundtarif",41.85,18.1,72.45
2002,1,"Kreis 1",1,"Verheiratetentarif",92.2,56.4,153.2
2002,1,"Kreis 1",2,"Einelternfamilientarif",55.1,29.55,111.2
2002,2,"Kreis 2",0,"Grundtarif",40.7,20.3,63.1
2002,2,"Kreis 2",1,"Verheiratetentarif",75.9,53,112.5
2002,2,"Kreis 2",2,"Einelternfamilientarif",43.7,24.8,65.9
2002,3,"Kreis 3",0,"Grundtarif",36.1,18.9,55
2002,3,"Kreis 3",1,"Verheiratetentarif",61.9,42.9,85.5
2002,3,"Kreis 3",2,"Einelternfamilientarif",36.2,20.3,52.6
2002,4,"Kreis 4",0,"Grundtarif",32,16.2,50.4
2002,4,"Kreis 4",1,"Verheiratetentarif",55.35,37.1,74.4
2002,4,"Kreis 4",2,"Einelternfamilientarif",33.1,16.45,48.7
2002,5,"Kreis 5",0,"Grundtarif",37.8,19.6,57.5
2002,5,"Kreis 5",1,"Verheiratetentarif",59.6,39.85,81.7
2002,5,"Kreis 5",2,"Einelternfamilientarif",36.6,22.4,49.7
2002,6,"Kreis 6",0,"Grundtarif",41.7,21.2,65.6
2002,6,"Kreis 6",1,"Verheiratetentarif",78.4,53.5,119.3
2002,6,"Kreis 6",2,"Einelternfamilientarif",43.65,26,66.3
2002,7,"Kreis 7",0,"Grundtarif",44.9,20.2,72.45
2002,7,"Kreis 7",1,"Verheiratetentarif",101,63.1,166.5
2002,7,"Kreis 7",2,"Einelternfamilientarif",56,34.1,89.6
2002,8,"Kreis 8",0,"Grundtarif",44.9,21.8,70
2002,8,"Kreis 8",1,"Verheiratetentarif",87.7,58,136.2
2002,8,"Kreis 8",2,"Einelternfamilientarif",49.95,27.05,77.25
2002,9,"Kreis 9",0,"Grundtarif",36.5,20.1,53.6
2002,9,"Kreis 9",1,"Verheiratetentarif",63.6,46.9,85.6
2002,9,"Kreis 9",2,"Einelternfamilientarif",37.3,21.1,51.5
2002,10,"Kreis 10",0,"Grundtarif",42.5,21.3,63
2002,10,"Kreis 10",1,"Verheiratetentarif",74.4,53.1,107.4
2002,10,"Kreis 10",2,"Einelternfamilientarif",43.2,25.8,61.3
2002,11,"Kreis 11",0,"Grundtarif",36.5,19.1,54.3
2002,11,"Kreis 11",1,"Verheiratetentarif",64.4,45.5,87.85
2002,11,"Kreis 11",2,"Einelternfamilientarif",37.2,20.6,55.4
2002,12,"Kreis 12",0,"Grundtarif",30.9,16.6,46
2002,12,"Kreis 12",1,"Verheiratetentarif",58.5,41.9,76.3
2002,12,"Kreis 12",2,"Einelternfamilientarif",33.5,17.5,45.9
2003,1,"Kreis 1",0,"Grundtarif",42.5,17.55,73.75
2003,1,"Kreis 1",1,"Verheiratetentarif",90.35,53.5,151
2003,1,"Kreis 1",2,"Einelternfamilientarif",52.4,30.65,98.75
2003,2,"Kreis 2",0,"Grundtarif",40.5,20.6,62.7
2003,2,"Kreis 2",1,"Verheiratetentarif",75.4,52.5,111.3
2003,2,"Kreis 2",2,"Einelternfamilientarif",43.2,23.4,68.9
2003,3,"Kreis 3",0,"Grundtarif",36.1,18.8,54.9
2003,3,"Kreis 3",1,"Verheiratetentarif",61.5,42.3,83.6
2003,3,"Kreis 3",2,"Einelternfamilientarif",36.2,20,51.9
2003,4,"Kreis 4",0,"Grundtarif",32.5,16.3,50.4
2003,4,"Kreis 4",1,"Verheiratetentarif",54.8,36.4,74.1
2003,4,"Kreis 4",2,"Einelternfamilientarif",33.2,16.1,47.15
2003,5,"Kreis 5",0,"Grundtarif",38.8,19.4,58.5
2003,5,"Kreis 5",1,"Verheiratetentarif",59.6,40.3,79.9
2003,5,"Kreis 5",2,"Einelternfamilientarif",35.9,19.7,51
2003,6,"Kreis 6",0,"Grundtarif",42,21.1,65.1
2003,6,"Kreis 6",1,"Verheiratetentarif",78.6,53.5,120.7
2003,6,"Kreis 6",2,"Einelternfamilientarif",42.8,25.7,67.5
2003,7,"Kreis 7",0,"Grundtarif",44.9,19.5,72.6
2003,7,"Kreis 7",1,"Verheiratetentarif",99.9,64,168.6
2003,7,"Kreis 7",2,"Einelternfamilientarif",54.4,31.4,89.8
2003,8,"Kreis 8",0,"Grundtarif",45.7,21.7,70
2003,8,"Kreis 8",1,"Verheiratetentarif",88.25,57.3,138.1
2003,8,"Kreis 8",2,"Einelternfamilientarif",50.35,28.5,70.4
2003,9,"Kreis 9",0,"Grundtarif",36.6,20,53.7
2003,9,"Kreis 9",1,"Verheiratetentarif",62.6,46.4,85.2
2003,9,"Kreis 9",2,"Einelternfamilientarif",36.9,21.3,51.4
2003,10,"Kreis 10",0,"Grundtarif",42.3,21.5,62.7
2003,10,"Kreis 10",1,"Verheiratetentarif",74.3,52.8,107.2
2003,10,"Kreis 10",2,"Einelternfamilientarif",42.85,24.9,60.3
2003,11,"Kreis 11",0,"Grundtarif",36.4,19,54.3
2003,11,"Kreis 11",1,"Verheiratetentarif",64.1,45,88.4
2003,11,"Kreis 11",2,"Einelternfamilientarif",36.7,20.4,52.8
2003,12,"Kreis 12",0,"Grundtarif",30.9,16.4,45.5
2003,12,"Kreis 12",1,"Verheiratetentarif",58.3,41.7,75.6
2003,12,"Kreis 12",2,"Einelternfamilientarif",31.8,17.35,45.95
2004,1,"Kreis 1",0,"Grundtarif",40.95,16.8,73.75
2004,1,"Kreis 1",1,"Verheiratetentarif",95.8,59.3,152.7
2004,1,"Kreis 1",2,"Einelternfamilientarif",55.3,32.7,98
2004,2,"Kreis 2",0,"Grundtarif",40,19.8,62.7
2004,2,"Kreis 2",1,"Verheiratetentarif",76.2,51.9,114.3
2004,2,"Kreis 2",2,"Einelternfamilientarif",42.85,24.9,66.5
2004,3,"Kreis 3",0,"Grundtarif",36,18.4,55.2
2004,3,"Kreis 3",1,"Verheiratetentarif",61.1,41.15,85.2
2004,3,"Kreis 3",2,"Einelternfamilientarif",37,20,53.6
2004,4,"Kreis 4",0,"Grundtarif",32,15.7,50.9
2004,4,"Kreis 4",1,"Verheiratetentarif",53,34.65,72.5
2004,4,"Kreis 4",2,"Einelternfamilientarif",32,15.9,49.9
2004,5,"Kreis 5",0,"Grundtarif",39.4,18.5,59.2
2004,5,"Kreis 5",1,"Verheiratetentarif",59.6,40.6,82.9
2004,5,"Kreis 5",2,"Einelternfamilientarif",36.2,16.4,51.4
2004,6,"Kreis 6",0,"Grundtarif",42.3,20.8,65.9
2004,6,"Kreis 6",1,"Verheiratetentarif",78.65,53,121.7
2004,6,"Kreis 6",2,"Einelternfamilientarif",45.9,26.55,70.65
2004,7,"Kreis 7",0,"Grundtarif",44.6,19.5,72.7
2004,7,"Kreis 7",1,"Verheiratetentarif",101.3,63.3,173.8
2004,7,"Kreis 7",2,"Einelternfamilientarif",57.85,33.1,92.6
2004,8,"Kreis 8",0,"Grundtarif",45,20.7,70
