"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2010,10,"Kreis 10",2,"Einelternfamilientarif",25,0,115
2010,11,"Kreis 11",0,"Grundtarif",19,0,106
2010,11,"Kreis 11",1,"Verheiratetentarif",68,0,274
2010,11,"Kreis 11",2,"Einelternfamilientarif",2,0,44
2010,12,"Kreis 12",0,"Grundtarif",11,0,69
2010,12,"Kreis 12",1,"Verheiratetentarif",23,0,165
2010,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2011,1,"Kreis 1",0,"Grundtarif",46,3,267
2011,1,"Kreis 1",1,"Verheiratetentarif",328.5,70.5,1138
2011,1,"Kreis 1",2,"Einelternfamilientarif",71.5,8,292
2011,2,"Kreis 2",0,"Grundtarif",40,3,200
2011,2,"Kreis 2",1,"Verheiratetentarif",190,29,588
2011,2,"Kreis 2",2,"Einelternfamilientarif",21,0,103
2011,3,"Kreis 3",0,"Grundtarif",25,0,118
2011,3,"Kreis 3",1,"Verheiratetentarif",68,1,279
2011,3,"Kreis 3",2,"Einelternfamilientarif",8,0,64
2011,4,"Kreis 4",0,"Grundtarif",11,0,70
2011,4,"Kreis 4",1,"Verheiratetentarif",8,0,114
2011,4,"Kreis 4",2,"Einelternfamilientarif",2,0,55
2011,5,"Kreis 5",0,"Grundtarif",20,0,101
2011,5,"Kreis 5",1,"Verheiratetentarif",53,0,275
2011,5,"Kreis 5",2,"Einelternfamilientarif",31,0,132
2011,6,"Kreis 6",0,"Grundtarif",45,4,199
2011,6,"Kreis 6",1,"Verheiratetentarif",218,46,663
2011,6,"Kreis 6",2,"Einelternfamilientarif",43,3,175
2011,7,"Kreis 7",0,"Grundtarif",72,8,361.5
2011,7,"Kreis 7",1,"Verheiratetentarif",462,106,1534
2011,7,"Kreis 7",2,"Einelternfamilientarif",70.5,5,287
2011,8,"Kreis 8",0,"Grundtarif",58,6,255
2011,8,"Kreis 8",1,"Verheiratetentarif",281,57.5,909
2011,8,"Kreis 8",2,"Einelternfamilientarif",50,1,222
2011,9,"Kreis 9",0,"Grundtarif",21,0,116
2011,9,"Kreis 9",1,"Verheiratetentarif",67,0,286.5
2011,9,"Kreis 9",2,"Einelternfamilientarif",5,0,51.5
2011,10,"Kreis 10",0,"Grundtarif",42,4,188
2011,10,"Kreis 10",1,"Verheiratetentarif",193,32,581
2011,10,"Kreis 10",2,"Einelternfamilientarif",32,0,121
2011,11,"Kreis 11",0,"Grundtarif",20,0,109
2011,11,"Kreis 11",1,"Verheiratetentarif",66,0,279
2011,11,"Kreis 11",2,"Einelternfamilientarif",3,0,46
2011,12,"Kreis 12",0,"Grundtarif",10,0,68
2011,12,"Kreis 12",1,"Verheiratetentarif",24,0,168
2011,12,"Kreis 12",2,"Einelternfamilientarif",0,0,15
2012,1,"Kreis 1",0,"Grundtarif",46,2,281
2012,1,"Kreis 1",1,"Verheiratetentarif",326,70,1321
2012,1,"Kreis 1",2,"Einelternfamilientarif",63,8,342
2012,2,"Kreis 2",0,"Grundtarif",40,3,203
2012,2,"Kreis 2",1,"Verheiratetentarif",199,32,626
2012,2,"Kreis 2",2,"Einelternfamilientarif",23.5,0,108.5
2012,3,"Kreis 3",0,"Grundtarif",26,0,122
2012,3,"Kreis 3",1,"Verheiratetentarif",74,1,298
2012,3,"Kreis 3",2,"Einelternfamilientarif",12,0,80
2012,4,"Kreis 4",0,"Grundtarif",12,0,74
2012,4,"Kreis 4",1,"Verheiratetentarif",9,0,121
2012,4,"Kreis 4",2,"Einelternfamilientarif",2,0,67
2012,5,"Kreis 5",0,"Grundtarif",23,0,106
2012,5,"Kreis 5",1,"Verheiratetentarif",63,0,290
2012,5,"Kreis 5",2,"Einelternfamilientarif",39,0,128
2012,6,"Kreis 6",0,"Grundtarif",47,5,205
2012,6,"Kreis 6",1,"Verheiratetentarif",230,47,704.5
2012,6,"Kreis 6",2,"Einelternfamilientarif",44,3,204
2012,7,"Kreis 7",0,"Grundtarif",73,8,378
2012,7,"Kreis 7",1,"Verheiratetentarif",476,110,1588.5
2012,7,"Kreis 7",2,"Einelternfamilientarif",81,6,314
2012,8,"Kreis 8",0,"Grundtarif",63,6,273
2012,8,"Kreis 8",1,"Verheiratetentarif",303,62,996
2012,8,"Kreis 8",2,"Einelternfamilientarif",48,1,229
2012,9,"Kreis 9",0,"Grundtarif",21,0,119
2012,9,"Kreis 9",1,"Verheiratetentarif",68.5,0,305
2012,9,"Kreis 9",2,"Einelternfamilientarif",4,0,53
2012,10,"Kreis 10",0,"Grundtarif",44,4,192
2012,10,"Kreis 10",1,"Verheiratetentarif",205.5,37,617.5
2012,10,"Kreis 10",2,"Einelternfamilientarif",32,0,130
2012,11,"Kreis 11",0,"Grundtarif",21,0,110
2012,11,"Kreis 11",1,"Verheiratetentarif",70,0,288
2012,11,"Kreis 11",2,"Einelternfamilientarif",3,0,43
2012,12,"Kreis 12",0,"Grundtarif",10,0,70
2012,12,"Kreis 12",1,"Verheiratetentarif",22,0,164
2012,12,"Kreis 12",2,"Einelternfamilientarif",0,0,13
2013,1,"Kreis 1",0,"Grundtarif",47,3,288
2013,1,"Kreis 1",1,"Verheiratetentarif",337,63,1317
2013,1,"Kreis 1",2,"Einelternfamilientarif",82,13,374
2013,2,"Kreis 2",0,"Grundtarif",43,3,216
2013,2,"Kreis 2",1,"Verheiratetentarif",203,36,661
2013,2,"Kreis 2",2,"Einelternfamilientarif",24,0,123.5
2013,3,"Kreis 3",0,"Grundtarif",27,0,127
2013,3,"Kreis 3",1,"Verheiratetentarif",77,1,314
2013,3,"Kreis 3",2,"Einelternfamilientarif",19,0,92
2013,4,"Kreis 4",0,"Grundtarif",13,0,78
2013,4,"Kreis 4",1,"Verheiratetentarif",10,0,123
2013,4,"Kreis 4",2,"Einelternfamilientarif",4,0,69
2013,5,"Kreis 5",0,"Grundtarif",26,0,116
2013,5,"Kreis 5",1,"Verheiratetentarif",73.5,0,313
2013,5,"Kreis 5",2,"Einelternfamilientarif",49,0,158.5
2013,6,"Kreis 6",0,"Grundtarif",48,5,207
2013,6,"Kreis 6",1,"Verheiratetentarif",249,51,753
2013,6,"Kreis 6",2,"Einelternfamilientarif",54,4,217
2013,7,"Kreis 7",0,"Grundtarif",77,8,391
2013,7,"Kreis 7",1,"Verheiratetentarif",485,112,1634
2013,7,"Kreis 7",2,"Einelternfamilientarif",87.5,7,331.5
2013,8,"Kreis 8",0,"Grundtarif",61,6,277
2013,8,"Kreis 8",1,"Verheiratetentarif",320,66,1024
2013,8,"Kreis 8",2,"Einelternfamilientarif",56,1,230
2013,9,"Kreis 9",0,"Grundtarif",21,0,119
2013,9,"Kreis 9",1,"Verheiratetentarif",73,0,313
2013,9,"Kreis 9",2,"Einelternfamilientarif",5,0,61
2013,10,"Kreis 10",0,"Grundtarif",43,4,198
2013,10,"Kreis 10",1,"Verheiratetentarif",215.5,39,653
2013,10,"Kreis 10",2,"Einelternfamilientarif",36,0,147
2013,11,"Kreis 11",0,"Grundtarif",21,0,112
2013,11,"Kreis 11",1,"Verheiratetentarif",72.5,1,299
2013,11,"Kreis 11",2,"Einelternfamilientarif",3,0,50
2013,12,"Kreis 12",0,"Grundtarif",10,0,71
2013,12,"Kreis 12",1,"Verheiratetentarif",22,0,169
2013,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2014,1,"Kreis 1",0,"Grundtarif",45,2,282
2014,1,"Kreis 1",1,"Verheiratetentarif",361,78,1434
2014,1,"Kreis 1",2,"Einelternfamilientarif",70,6,365
2014,2,"Kreis 2",0,"Grundtarif",44,3,223
2014,2,"Kreis 2",1,"Verheiratetentarif",202,35,656
2014,2,"Kreis 2",2,"Einelternfamilientarif",27,0,121
2014,3,"Kreis 3",0,"Grundtarif",28,0,130
2014,3,"Kreis 3",1,"Verheiratetentarif",88,4,336
2014,3,"Kreis 3",2,"Einelternfamilientarif",20,0,110
2014,4,"Kreis 4",0,"Grundtarif",14,0,82
2014,4,"Kreis 4",1,"Verheiratetentarif",14,0,141
2014,4,"Kreis 4",2,"Einelternfamilientarif",5,0,68
2014,5,"Kreis 5",0,"Grundtarif",26,0,122
2014,5,"Kreis 5",1,"Verheiratetentarif",98,2,342
2014,5,"Kreis 5",2,"Einelternfamilientarif",39,0,174
2014,6,"Kreis 6",0,"Grundtarif",48,4,214
2014,6,"Kreis 6",1,"Verheiratetentarif",248.5,53,735
2014,6,"Kreis 6",2,"Einelternfamilientarif",57,4,248
2014,7,"Kreis 7",0,"Grundtarif",80,9,407
2014,7,"Kreis 7",1,"Verheiratetentarif",484.5,110,1596.5
2014,7,"Kreis 7",2,"Einelternfamilientarif",88.5,9,378
2014,8,"Kreis 8",0,"Grundtarif",63,6,294
2014,8,"Kreis 8",1,"Verheiratetentarif",338,77,1064
2014,8,"Kreis 8",2,"Einelternfamilientarif",68.5,6,306.5
2014,9,"Kreis 9",0,"Grundtarif",23,0,124
2014,9,"Kreis 9",1,"Verheiratetentarif",74,0,309
2014,9,"Kreis 9",2,"Einelternfamilientarif",7,0,68
2014,10,"Kreis 10",0,"Grundtarif",44,4,203
2014,10,"Kreis 10",1,"Verheiratetentarif",220,42,651
2014,10,"Kreis 10",2,"Einelternfamilientarif",35,0,149
2014,11,"Kreis 11",0,"Grundtarif",21,0,118
2014,11,"Kreis 11",1,"Verheiratetentarif",75,1,306
2014,11,"Kreis 11",2,"Einelternfamilientarif",4,0,54
2014,12,"Kreis 12",0,"Grundtarif",11,0,72
2014,12,"Kreis 12",1,"Verheiratetentarif",22,0,164
2014,12,"Kreis 12",2,"Einelternfamilientarif",0,0,15
2015,1,"Kreis 1",0,"Grundtarif",50,3,295.5
2015,1,"Kreis 1",1,"Verheiratetentarif",351,75,1388
2015,1,"Kreis 1",2,"Einelternfamilientarif",87,11,495
2015,2,"Kreis 2",0,"Grundtarif",45,4,231
2015,2,"Kreis 2",1,"Verheiratetentarif",211,37,655
2015,2,"Kreis 2",2,"Einelternfamilientarif",27,0,136
2015,3,"Kreis 3",0,"Grundtarif",29,1,133
2015,3,"Kreis 3",1,"Verheiratetentarif",92,4,340
2015,3,"Kreis 3",2,"Einelternfamilientarif",23,0,120
2015,4,"Kreis 4",0,"Grundtarif",14.5,0,84
2015,4,"Kreis 4",1,"Verheiratetentarif",19,0,153
2015,4,"Kreis 4",2,"Einelternfamilientarif",6,0,69
2015,5,"Kreis 5",0,"Grundtarif",28,1,128
2015,5,"Kreis 5",1,"Verheiratetentarif",110,5,394
2015,5,"Kreis 5",2,"Einelternfamilientarif",43.5,0.5,179.5
2015,6,"Kreis 6",0,"Grundtarif",49,4,212
2015,6,"Kreis 6",1,"Verheiratetentarif",255,56,751
2015,6,"Kreis 6",2,"Einelternfamilientarif",56,4,236
2015,7,"Kreis 7",0,"Grundtarif",79,9,403
2015,7,"Kreis 7",1,"Verheiratetentarif",490,117,1619
2015,7,"Kreis 7",2,"Einelternfamilientarif",99,9.5,404.5
2015,8,"Kreis 8",0,"Grundtarif",63,6,294
2015,8,"Kreis 8",1,"Verheiratetentarif",358.5,86,1134
2015,8,"Kreis 8",2,"Einelternfamilientarif",66,5,314
2015,9,"Kreis 9",0,"Grundtarif",23,0,125
2015,9,"Kreis 9",1,"Verheiratetentarif",78,1,315
2015,9,"Kreis 9",2,"Einelternfamilientarif",7,0,78
2015,10,"Kreis 10",0,"Grundtarif",45,4,208
2015,10,"Kreis 10",1,"Verheiratetentarif",220,43,666
2015,10,"Kreis 10",2,"Einelternfamilientarif",44,1,167
2015,11,"Kreis 11",0,"Grundtarif",22,0,119
2015,11,"Kreis 11",1,"Verheiratetentarif",78,2,308
2015,11,"Kreis 11",2,"Einelternfamilientarif",5,0,60
2015,12,"Kreis 12",0,"Grundtarif",12,0,74
2015,12,"Kreis 12",1,"Verheiratetentarif",22,0,166
2015,12,"Kreis 12",2,"Einelternfamilientarif",0,0,20
2016,1,"Kreis 1",0,"Grundtarif",49,3,303
2016,1,"Kreis 1",1,"Verheiratetentarif",412,99,1438
2016,1,"Kreis 1",2,"Einelternfamilientarif",111,4,370
2016,2,"Kreis 2",0,"Grundtarif",48,4,233
2016,2,"Kreis 2",1,"Verheiratetentarif",218,41,684.5
2016,2,"Kreis 2",2,"Einelternfamilientarif",29,1,156
2016,3,"Kreis 3",0,"Grundtarif",31,1,138
2016,3,"Kreis 3",1,"Verheiratetentarif",112,8,373
2016,3,"Kreis 3",2,"Einelternfamilientarif",33,0,136
2016,4,"Kreis 4",0,"Grundtarif",17,0,90
2016,4,"Kreis 4",1,"Verheiratetentarif",34,0,196
2016,4,"Kreis 4",2,"Einelternfamilientarif",12,0,98
2016,5,"Kreis 5",0,"Grundtarif",33,1,142
2016,5,"Kreis 5",1,"Verheiratetentarif",135.5,8,423
2016,5,"Kreis 5",2,"Einelternfamilientarif",51,3,219
2016,6,"Kreis 6",0,"Grundtarif",52,5,222
2016,6,"Kreis 6",1,"Verheiratetentarif",274,62,781
2016,6,"Kreis 6",2,"Einelternfamilientarif",62,5,258
2016,7,"Kreis 7",0,"Grundtarif",81,10,414
2016,7,"Kreis 7",1,"Verheiratetentarif",500,124,1640
2016,7,"Kreis 7",2,"Einelternfamilientarif",111,13,436
2016,8,"Kreis 8",0,"Grundtarif",65,6,297
2016,8,"Kreis 8",1,"Verheiratetentarif",363,86,1151
2016,8,"Kreis 8",2,"Einelternfamilientarif",80,10,327
2016,9,"Kreis 9",0,"Grundtarif",26,0,131
2016,9,"Kreis 9",1,"Verheiratetentarif",90,4,334
2016,9,"Kreis 9",2,"Einelternfamilientarif",12,0,94
2016,10,"Kreis 10",0,"Grundtarif",47,5,211
2016,10,"Kreis 10",1,"Verheiratetentarif",230,51,686
2016,10,"Kreis 10",2,"Einelternfamilientarif",51,3,182
2016,11,"Kreis 11",0,"Grundtarif",22,0,121
2016,11,"Kreis 11",1,"Verheiratetentarif",85,3,327.5
2016,11,"Kreis 11",2,"Einelternfamilientarif",6,0,68
2016,12,"Kreis 12",0,"Grundtarif",12,0,76
2016,12,"Kreis 12",1,"Verheiratetentarif",31,0,188.5
2016,12,"Kreis 12",2,"Einelternfamilientarif",0,0,22
2017,1,"Kreis 1",0,"Grundtarif",47,3,300
2017,1,"Kreis 1",1,"Verheiratetentarif",405,99,1586
2017,1,"Kreis 1",2,"Einelternfamilientarif",77,4,416.5
2017,2,"Kreis 2",0,"Grundtarif",47,4,234
2017,2,"Kreis 2",1,"Verheiratetentarif",232,42,713
2017,2,"Kreis 2",2,"Einelternfamilientarif",31,1,173
2017,3,"Kreis 3",0,"Grundtarif",32,1,145
2017,3,"Kreis 3",1,"Verheiratetentarif",125,11,410
2017,3,"Kreis 3",2,"Einelternfamilientarif",31,0,146
2017,4,"Kreis 4",0,"Grundtarif",19,0,98
2017,4,"Kreis 4",1,"Verheiratetentarif",49,0,243
2017,4,"Kreis 4",2,"Einelternfamilientarif",14,0,106
2017,5,"Kreis 5",0,"Grundtarif",34,2,148
2017,5,"Kreis 5",1,"Verheiratetentarif",154,17,494
2017,5,"Kreis 5",2,"Einelternfamilientarif",51,1,230
2017,6,"Kreis 6",0,"Grundtarif",52,5,225
2017,6,"Kreis 6",1,"Verheiratetentarif",288,66,829.5
2017,6,"Kreis 6",2,"Einelternfamilientarif",70.5,5,264
2017,7,"Kreis 7",0,"Grundtarif",80,10,419
2017,7,"Kreis 7",1,"Verheiratetentarif",538,131.5,1733
2017,7,"Kreis 7",2,"Einelternfamilientarif",115,15,437
2017,8,"Kreis 8",0,"Grundtarif",68,7,313
2017,8,"Kreis 8",1,"Verheiratetentarif",382,97,1266
2017,8,"Kreis 8",2,"Einelternfamilientarif",89,8,369
2017,9,"Kreis 9",0,"Grundtarif",26,0,132
2017,9,"Kreis 9",1,"Verheiratetentarif",99,6,357
2017,9,"Kreis 9",2,"Einelternfamilientarif",14,0,108
2017,10,"Kreis 10",0,"Grundtarif",47,5,216
2017,10,"Kreis 10",1,"Verheiratetentarif",242.5,55,708
2017,10,"Kreis 10",2,"Einelternfamilientarif",56,4,214
2017,11,"Kreis 11",0,"Grundtarif",22,0,123
2017,11,"Kreis 11",1,"Verheiratetentarif",93.5,4,354
2017,11,"Kreis 11",2,"Einelternfamilientarif",7,0,85
2017,12,"Kreis 12",0,"Grundtarif",13,0,77
2017,12,"Kreis 12",1,"Verheiratetentarif",37,0,203
2017,12,"Kreis 12",2,"Einelternfamilientarif",1,0,26
2018,1,"Kreis 1",0,"Grundtarif",47,3,290
2018,1,"Kreis 1",1,"Verheiratetentarif",402,83,1552
2018,1,"Kreis 1",2,"Einelternfamilientarif",89,3,416
2018,2,"Kreis 2",0,"Grundtarif",46,4,224
2018,2,"Kreis 2",1,"Verheiratetentarif",221.5,40,695
2018,2,"Kreis 2",2,"Einelternfamilientarif",40.5,1,187
2018,3,"Kreis 3",0,"Grundtarif",33,2,144
2018,3,"Kreis 3",1,"Verheiratetentarif",128,11,425
2018,3,"Kreis 3",2,"Einelternfamilientarif",36,0,146
2018,4,"Kreis 4",0,"Grundtarif",20,0,98
2018,4,"Kreis 4",1,"Verheiratetentarif",55,0,261
2018,4,"Kreis 4",2,"Einelternfamilientarif",16,0,112
2018,5,"Kreis 5",0,"Grundtarif",36,2,154
2018,5,"Kreis 5",1,"Verheiratetentarif",167.5,20,510
2018,5,"Kreis 5",2,"Einelternfamilientarif",64,3,240
2018,6,"Kreis 6",0,"Grundtarif",51,5,220
2018,6,"Kreis 6",1,"Verheiratetentarif",295,70,859
2018,6,"Kreis 6",2,"Einelternfamilientarif",77,8,247.5
2018,7,"Kreis 7",0,"Grundtarif",79,9,405
2018,7,"Kreis 7",1,"Verheiratetentarif",501,127,1594
2018,7,"Kreis 7",2,"Einelternfamilientarif",121,17,455.5
2018,8,"Kreis 8",0,"Grundtarif",70,8,312
2018,8,"Kreis 8",1,"Verheiratetentarif",376,88,1171
2018,8,"Kreis 8",2,"Einelternfamilientarif",97.5,11,403
2018,9,"Kreis 9",0,"Grundtarif",27,0,131
2018,9,"Kreis 9",1,"Verheiratetentarif",102,6,360
2018,9,"Kreis 9",2,"Einelternfamilientarif",17,0,114.5
2018,10,"Kreis 10",0,"Grundtarif",47,5,211
2018,10,"Kreis 10",1,"Verheiratetentarif",245,52,704
2018,10,"Kreis 10",2,"Einelternfamilientarif",54,4,220.5
2018,11,"Kreis 11",0,"Grundtarif",22,0,125
2018,11,"Kreis 11",1,"Verheiratetentarif",95,4,352
2018,11,"Kreis 11",2,"Einelternfamilientarif",8,0,88.5
2018,12,"Kreis 12",0,"Grundtarif",12,0,76
2018,12,"Kreis 12",1,"Verheiratetentarif",39,0,206
2018,12,"Kreis 12",2,"Einelternfamilientarif",1,0,28
